,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,geneName
ENSG00000207730.3,45744.98424,0.029687622,0.007847627,3.783006075,0.000154946,0.008614042,MIR200B
ENSG00000198976.1,84.17842522,0.041287377,0.010606008,3.892829244,9.91E-05,0.007034188,MIR429
ENSG00000177674.16,16.25885438,0.044451165,0.01079593,4.117400406,3.83E-05,0.003683717,AGTRAP
ENSG00000011021.23,11.45557973,0.043723752,0.011828398,3.696506712,0.000218586,0.009750706,CLCN6
ENSG00000198746.13,25.84153877,0.028314529,0.007115042,3.979530559,6.91E-05,0.005221747,GPATCH3
ENSG00000284154.1,57.22559559,0.034870012,0.008492111,4.106165347,4.02E-05,0.003801902,MIR3605
ENSG00000196449.4,34.15961315,0.032658147,0.007569043,4.314699381,1.60E-05,0.001961604,YRDC
ENSG00000173947.14,12.88852532,-0.065964369,0.015221695,-4.333575778,1.47E-05,0.001902411,PIFO
ENSG00000134253.10,95.8363667,0.037621973,0.008532567,4.409221099,1.04E-05,0.001563436,TRIM45
ENSG00000287979.1,8.992252766,-0.048008825,0.011146211,-4.307187771,1.65E-05,0.001961604,NA
ENSG00000274019.1,12.47469535,0.033393432,0.008966355,3.724304207,0.000195855,0.009177189,NA
ENSG00000117724.15,13.48536593,-0.044631263,0.010062586,-4.435367212,9.19E-06,0.001434306,CENPF
ENSG00000266618.1,9.368674727,0.048543909,0.011986503,4.049880682,5.12E-05,0.004329321,MIR4742
ENSG00000198626.18,111.2973509,-0.04619224,0.012211867,-3.782569851,0.000155218,0.008614042,RYR2
ENSG00000197454.2,12.00166682,0.060167074,0.010867729,5.536305922,3.09E-08,1.91E-05,OR2L5
ENSG00000212171.1,12.82851911,0.034670292,0.009122772,3.800411886,0.000144456,0.008614042,RNA5SP86
ENSG00000224891.1,1226.668981,-0.053843343,0.014301496,-3.76487491,0.000166632,0.008657934,ARL14EPP1
ENSG00000230327.1,30.9775427,0.047132135,0.007339974,6.421294407,1.35E-10,1.51E-07,MTCO1P42
ENSG00000287625.1,63.42475216,0.048532538,0.009826828,4.938779733,7.86E-07,0.000313104,NA
ENSG00000212283.1,171.4502686,0.030094067,0.004907608,6.132125159,8.67E-10,8.06E-07,SNORD89
ENSG00000229670.2,9.402191417,0.038334113,0.010399562,3.686127729,0.000227692,0.009996938,NA
ENSG00000198973.4,1989.601553,0.026035304,0.007034004,3.701349051,0.000214456,0.009722015,MIR375
ENSG00000263740.2,320.8673847,0.038179157,0.009140036,4.177134178,2.95E-05,0.003059441,RN7SL4P
ENSG00000113810.16,23.98344949,-0.048104819,0.01035336,-4.646300161,3.38E-06,0.000789445,SMC4
ENSG00000212158.1,7219.914564,0.028386106,0.004379856,6.481059916,9.11E-11,1.27E-07,SNORD66
ENSG00000207807.1,114.0914934,0.027101949,0.007218666,3.754426281,0.000173739,0.008657934,MIR95
ENSG00000169429.12,16.13325392,0.060648843,0.012106078,5.009784505,5.45E-07,0.000233725,CXCL8
ENSG00000236530.2,13.50245972,-0.052918128,0.014028847,-3.77209401,0.000161883,0.008657934,KPNA2P1
ENSG00000173083.16,21.11851618,0.031230056,0.007433034,4.201521967,2.65E-05,0.002842972,HPSE
ENSG00000109536.12,8.726214051,-0.051805383,0.012922023,-4.009076918,6.10E-05,0.004925997,FRG1
ENSG00000286134.2,13.16477355,0.039029492,0.010029628,3.891419621,9.97E-05,0.007034188,NA
ENSG00000272335.1,27.52565293,-0.06521427,0.016817155,-3.877841866,0.000105387,0.007079987,NA
ENSG00000132570.15,42.43452508,-0.063673436,0.016729978,-3.805948654,0.000141262,0.008561687,PCBD2
ENSG00000240869.3,223.2362019,0.037436269,0.009314119,4.01930341,5.84E-05,0.004786378,NA
ENSG00000278828.2,9.072612043,-0.052980916,0.011553088,-4.585866081,4.52E-06,0.000900341,H3C10
ENSG00000204389.10,72.53829943,0.026277889,0.006841199,3.84112342,0.000122473,0.007849503,HSPA1A
ENSG00000204388.7,34.41352725,0.032298288,0.006623982,4.875962242,1.08E-06,0.000355156,HSPA1B
ENSG00000157593.20,17.35351132,0.033116437,0.008330157,3.975487875,7.02E-05,0.005221747,SLC35B2
ENSG00000286511.1,9.24503891,0.043688335,0.011539878,3.785857474,0.000153179,0.008614042,NA
ENSG00000146574.16,58.62451291,-0.04390473,0.011634369,-3.773709665,0.000160838,0.008657934,CCZ1B
ENSG00000206947.1,27.70580211,0.032093598,0.00689523,4.654463594,3.25E-06,0.000789445,SNORA20B
ENSG00000179869.15,20.99414577,0.033730865,0.008638373,3.904770642,9.43E-05,0.006829861,ABCA13
ENSG00000234215.3,15.85184465,0.04567164,0.009581789,4.766504479,1.87E-06,0.000550115,CT66
ENSG00000170615.16,11.75028039,-0.058565978,0.014378617,-4.073130004,4.64E-05,0.004198347,SLC26A5
ENSG00000207990.3,17020.20539,0.03473443,0.008317032,4.176301306,2.96E-05,0.003059441,MIR182
ENSG00000240877.3,57.12528833,0.045604839,0.011243119,4.056244302,4.99E-05,0.004329321,RN7SL521P
ENSG00000276213.1,35.61966912,0.06181251,0.016160563,3.824898254,0.000130826,0.008194094,NA
ENSG00000254092.4,14.56915682,0.049342066,0.013049066,3.781271964,0.000156029,0.008614042,NA
ENSG00000286346.1,45.30230817,-0.056671201,0.015202918,-3.727652792,0.000193271,0.009132892,LOC124901902
ENSG00000208037.1,27548.16358,0.028700515,0.006561578,4.374026129,1.22E-05,0.001773405,MIR320A
ENSG00000168522.13,34.69290032,0.042593616,0.009577413,4.447298827,8.70E-06,0.001430723,FNTA
ENSG00000172817.4,9.70712013,0.043404872,0.010524253,4.124271147,3.72E-05,0.003638199,CYP7B1
ENSG00000246366.7,16.98312973,-0.059669811,0.014654955,-4.071647593,4.67E-05,0.004198347,LACTB2-AS1
ENSG00000197858.12,27.2814895,-0.051565266,0.01363073,-3.783015571,0.00015494,0.008614042,GPAA1
ENSG00000227155.7,18.56129214,0.050721584,0.013510665,3.754188465,0.000173904,0.008657934,LOC124902108
ENSG00000173253.16,17.34082224,0.04201992,0.011171257,3.761431826,0.000168943,0.008657934,DMRT2
ENSG00000165304.8,19.32033826,-0.055221175,0.013066544,-4.226149982,2.38E-05,0.002651093,MELK
ENSG00000222293.1,406.1546461,0.03334795,0.008735284,3.817614958,0.000134748,0.008256647,RNU2-36P
ENSG00000136928.7,40.73654121,0.027785484,0.006217364,4.469013348,7.86E-06,0.001369278,GABBR2
ENSG00000171505.6,12.69039996,0.059054672,0.010847636,5.444012912,5.21E-08,2.90E-05,OR1N1
ENSG00000151240.18,11.89545281,0.036229517,0.009635527,3.759993398,0.000169918,0.008657934,DIP2C
ENSG00000212505.1,16.14692131,0.088012332,0.019014799,4.628622765,3.68E-06,0.000789445,RNA5SP299
ENSG00000199407.1,22.04523267,0.070129626,0.013605687,5.154434722,2.54E-07,0.000128956,RNA5SP301
ENSG00000166135.14,85.05301835,0.051557219,0.011914353,4.327319904,1.51E-05,0.001912754,HIF1AN
ENSG00000255153.1,8.956058301,-0.053980722,0.014437765,-3.738855749,0.00018486,0.008923264,TOLLIP-DT
ENSG00000182208.15,9.808255465,0.078373441,0.019588008,4.00109296,6.31E-05,0.005022429,MOB2
ENSG00000167325.15,11.95666818,-0.040156754,0.010164742,-3.950592766,7.80E-05,0.005719646,RRM1
ENSG00000175216.15,18.00769811,-0.033608123,0.007410513,-4.535195447,5.76E-06,0.001106551,CKAP5
ENSG00000212135.1,61.04549184,0.033633615,0.007239773,4.645672475,3.39E-06,0.000789445,SNORD67
ENSG00000181718.7,49.55262138,0.03998676,0.01072092,3.729788111,0.000191641,0.009132892,OR5T2
ENSG00000245532.11,109.4959814,0.021740679,0.005802443,3.746814448,0.000179094,0.00883744,NEAT1
ENSG00000227376.1,26.73541503,0.02501609,0.006655957,3.758451397,0.000170968,0.008657934,NA
ENSG00000137699.17,24.11070295,0.042578686,0.010569588,4.028415057,5.62E-05,0.004673366,TRIM29
ENSG00000198975.2,59025.33309,0.028356486,0.007635882,3.713583388,0.000204345,0.009495235,MIRLET7A2
ENSG00000010292.13,8.962440195,-0.043101074,0.011392254,-3.783366751,0.000154721,0.008614042,NCAPD2
ENSG00000111667.14,29.70333837,0.033255273,0.006865664,4.843707969,1.27E-06,0.000394775,USP5
ENSG00000207713.3,31140.50475,0.027953859,0.006424296,4.351272184,1.35E-05,0.001840759,MIR200C
ENSG00000074590.14,113.8522249,-0.062527798,0.013573774,-4.606515328,4.09E-06,0.000845637,NUAK1
ENSG00000201428.1,49.61739024,0.037877401,0.0099098,3.822216263,0.000132258,0.008194094,NA
ENSG00000139714.12,21.40348173,-0.056663506,0.014649056,-3.868065368,0.000109702,0.007196468,MORN3
