"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","geneName","Expression"
"ENSG00000142611",191.587337094301,0.0646855043103463,0.266551055878031,0.242675850963222,0.808256516447269,0.884023000319085,"PRDM16","Unchanged"
"ENSG00000157911",641.330218385023,-0.0517056999053011,0.187920393745138,-0.275146826136527,0.783203437319276,0.867849673247769,"PEX10","Unchanged"
"ENSG00000269896",224.835859716625,1.26958946491792,0.255120915629935,4.97642250061347,6.47701913215606e-07,5.99748323291936e-06,"LOC100129534","Unchanged"
"ENSG00000228463",1006.62815646634,0.179341025018533,0.151904005488924,1.18062077718951,0.237753405956479,0.381659533429917,"RPL23AP21","Unchanged"
"ENSG00000142655",1441.1523192601,0.130628853501072,0.1377386711353,0.948381833688201,0.342935104176298,0.498407752487997,"PEX14","Unchanged"
"ENSG00000149527",61.9660248268674,-0.139701974477892,0.456193151143246,-0.306234265305805,0.759426284872304,0.850548813706583,"PLCH2","Unchanged"
"ENSG00000171621",875.16277560033,0.758080627072184,0.155371684077435,4.87914275740467,1.06547924896158e-06,9.47207939923971e-06,"SPSB1","Unchanged"
"ENSG00000173614",738.682742758639,0.0228219720380699,0.19522606163311,0.116900232720769,0.90693911373411,0.946567491468532,"NMNAT1","Unchanged"
"ENSG00000142606",28.7088783211103,1.1173001219917,0.652210198673537,1.71309820708732,0.0866944738328585,0.176285199575501,"MMEL1","Unchanged"
"ENSG00000171729",1888.99918985042,0.259379048171014,0.125322251213638,2.06969668721357,0.0384807571811849,0.0915516125248777,"TMEM51","Unchanged"
"ENSG00000037637",1489.76546558653,0.0742006291845677,0.138036872617378,0.537542091309495,0.590893218448846,0.723801581060974,"FBXO42","Unchanged"
"ENSG00000159423",6543.21469126021,-0.144201407561821,0.121048504213071,-1.19126963607906,0.233547749934767,0.376663302756477,"ALDH4A1","Unchanged"
"ENSG00000157916",3708.57169759181,0.378542054198266,0.123800657244247,3.05767402713734,0.00223062077933919,0.00845219660318189,"RER1","Unchanged"
"ENSG00000157881",1091.11351964464,-0.276892612261536,0.151254532746658,-1.83064009542983,0.0671542797972832,0.143621123108268,"PANK4","Unchanged"
"ENSG00000048707",3526.91586301781,0.122945929075779,0.113616772813232,1.08211073093832,0.279203328123547,0.430304926699524,"VPS13D","Unchanged"
