PeakID (cmd=annotatePeaks.pl peakcalling/LARP4_consensus_peaks2.bed hg38 -annStats annotation_stats.txt),Chr,Start,End,Strand,Gene Name
LARP4_rep1_peak_5307,chr19,1598000,1598395,+,MBD3
LARP4_rep1_peak_3345,chr15,78921791,78922382,+,CTSH
LARP4_rep1_peak_7015,chr20,2461691,2462112,+,SNORD119
LARP4_rep1_peak_9100,chr5,136063002,136063752,+,VTRNA2-1
LARP4_rep1_peak_2821,chr14,22564963,22565307,+,LINC02332
LARP4_rep1_peak_1163,chr10,71816378,71817635,+,CDH23
LARP4_rep1_peak_5072,chr17,82314903,82315625,+,CD7
LARP4_rep1_peak_5424,chr19,4657588,4658258,+,MYDGF
LARP4_rep1_peak_7130,chr20,31568975,31569487,+,HM13-AS1
LARP4_rep1_peak_7784,chr22,29769494,29770045,+,UQCR10
LARP4_rep1_peak_3634,chr16,14895382,14896107,+,MIR3179-1
LARP4_rep1_peak_1838,chr11,65854878,65855570,+,CFL1
LARP4_rep1_peak_6916,chr2,240130854,240131224,+,COPS9
LARP4_rep1_peak_1450,chr11,840083,840650,+,POLR2L
LARP4_rep1_peak_5964,chr19,46838185,46838677,+,SNAR-E
LARP4_rep1_peak_2033,chr11,117820175,117820490,+,DSCAML1
LARP4_rep1_peak_6205,chr2,10783883,10784496,+,PDIA6
LARP4_rep1_peak_3688,chr16,18499967,18500681,+,MIR3179-2
LARP4_rep1_peak_458,chr1,43977835,43978250,+,B4GALT2
LARP4_rep1_peak_610,chr1,110401299,110401704,+,LAMTOR5-AS1
LARP4_rep1_peak_9249,chr5,177595108,177596062,+,TMED9
LARP4_rep1_peak_10962,chr9,89316323,89316633,+,SECISBP2
LARP4_rep1_peak_1794,chr11,65021572,65022147,+,MIR6879
LARP4_rep1_peak_3662,chr16,16294041,16294772,+,MIR3179-2
LARP4_rep1_peak_2516,chr12,118144415,118145533,+,PEBP1
LARP4_rep1_peak_11673,chrX,153700527,153701121,+,SLC6A8
LARP4_rep1_peak_164,chr1,8861102,8861556,+,MIR6728
LARP4_rep1_peak_5656,chr19,17402954,17403496,+,BST2
LARP4_rep1_peak_4072,chr16,83811249,83811635,+,HSBP1
LARP4_rep1_peak_8814,chr4,119298548,119298942,+,C4orf3
LARP4_rep1_peak_11701,chrX,154435610,154436461,+,GDI1
LARP4_rep1_peak_1159,chr10,70883567,70884198,+,PCBD1
LARP4_rep1_peak_8845,chr4,154604214,154604500,+,FGG
LARP4_rep1_peak_10566,chr8,38059776,38060335,+,EIF4EBP1
LARP4_rep1_peak_7168,chr20,33023233,33023636,+,BPIFB6
LARP4_rep1_peak_11268,chr9,136792627,136793257,+,TMEM141
LARP4_rep1_peak_10487,chr8,11844170,11845345,+,CTSB
LARP4_rep1_peak_5797,chr19,36149434,36150296,+,COX7A1
LARP4_rep1_peak_2466,chr12,103947484,103947885,+,C12orf73
LARP4_rep1_peak_1720,chr11,62624860,62626308,+,B3GAT3
LARP4_rep1_peak_1449,chr11,837781,838799,+,POLR2L
LARP4_rep1_peak_4522,chr17,32940644,32941606,+,TMEM98
LARP4_rep1_peak_2153,chr12,6965387,6965829,+,MIR141
LARP4_rep1_peak_8886,chr5,256236,256612,+,HRAT5
LARP4_rep1_peak_8407,chr3,128620064,128620723,+,RPN1
LARP4_rep1_peak_6863,chr2,227816982,227817413,+,CCL20
LARP4_rep1_peak_6110,chr19,55453007,55453578,+,ISOC2
LARP4_rep1_peak_2857,chr14,23645039,23645586,+,DHRS2
LARP4_rep1_peak_3791,chr16,29871223,29871872,+,CDIPTOSP
LARP4_rep1_peak_10649,chr8,97851262,97852047,+,MATN2
LARP4_rep1_peak_3053,chr14,94591899,94593070,+,SERPINA5
LARP4_rep1_peak_3203,chr15,43770975,43771519,+,ELL3
LARP4_rep1_peak_782,chr1,156009107,156009753,+,SSR2
LARP4_rep1_peak_7112,chr20,24963017,24964082,+,CST7
LARP4_rep1_peak_815,chr1,160091409,160091736,+,IGSF8
LARP4_rep1_peak_8367,chr3,120602069,120602308,+,NDUFB4
LARP4_rep1_peak_4422,chr17,17505589,17505992,+,RASD1
LARP4_rep1_peak_8976,chr5,69229036,69229425,+,CDK7
LARP4_rep1_peak_4965,chr17,80119181,80119784,+,GAA
LARP4_rep1_peak_9157,chr5,151027747,151028932,+,GPX3
LARP4_rep1_peak_5593,chr19,12943389,12944442,+,RAD23A
LARP4_rep1_peak_7240,chr20,37241144,37241543,+,GHRH
LARP4_rep1_peak_7715-2,chr22,20786708,20787681,+,SERPIND1
LARP4_rep1_peak_9333,chr6,10730498,10731013,+,TMEM14C
LARP4_rep1_peak_3379,chr15,89784949,89785592,+,MESP2
LARP4_rep1_peak_1527,chr11,6614034,6614756,+,TAF10
LARP4_rep1_peak_205,chr1,11974537,11975491,+,MFN2
LARP4_rep1_peak_2968,chr14,69380179,69380765,+,ERH
LARP4_rep1_peak_191,chr1,11648411,11648974,+,FBXO44
LARP4_rep1_peak_3242,chr15,60347390,60347844,+,ANXA2
LARP4_rep1_peak_3190,chr15,40767129,40767664,+,C15orf62
LARP4_rep1_peak_4274,chr17,1753994,1755190,+,SERPINF1
LARP4_rep1_peak_441,chr1,42926201,42927359,+,SLC2A1
LARP4_rep1_peak_10886,chr9,37588507,37589118,+,TOMM5
LARP4_rep1_peak_5987,chr19,48382650,48383439,+,KDELR1
LARP4_rep1_peak_1003,chr1,230702662,230703456,+,AGT
LARP4_rep1_peak_3978,chr16,67870680,67871288,+,EDC4
LARP4_rep1_peak_5007,chr17,81843258,81844244,+,PPP1R27
LARP4_rep1_peak_1381,chr10,133362522,133363054,+,FUOM
LARP4_rep1_peak_2780,chr13,113322125,113323618,+,LAMP1
LARP4_rep1_peak_2087,chr11,129858465,129859135,+,NFRKB
LARP4_rep1_peak_6005,chr19,48922202,48923239,+,NUCB1-AS1
LARP4_rep1_peak_8244,chr3,50219919,50220901,+,GNAI2
LARP4_rep1_peak_11662,chrX,153649884,153651271,+,DUSP9
LARP4_rep1_peak_4350,chr17,7240540,7241090,+,PHF23
LARP4_rep1_peak_7182,chr20,34079781,34080236,+,MIR4755
LARP4_rep1_peak_10211,chr7,100620492,100621168,+,MOSPD3
LARP4_rep1_peak_9636,chr6,43511878,43512412,+,LRRC73
LARP4_rep1_peak_5226,chr19,582352,583415,+,HCN2
LARP4_rep1_peak_1457,chr11,866392,867049,+,TSPAN4
